regiao_id,municipio,uf,macrorregiao,latitude,longitude,fornos_detectados,densidade_populacional,pib_per_capita,distancia_centro_urbano_km,indice_pobreza,idh,taxa_informalidade,casos_oit_historicos,cobertura_fiscalizacao,area_desmatada_km2,acesso_educacao,populacao_total,score_risco,categoria_risco,pessoas_em_risco_estimadas
BR-00016,Vale Vermelho,CE,Nordeste,-5.5302,-41.7192,1,12.65,36795.32,169.0,43.45,0.749,35.73,0,62.85,0.41,,46814,39.2,Baixo Risco,419
BR-00017,Vila do Cedro,PB,Nordeste,-7.7094,-36.4128,1,65.55,37464.5,142.3,42.21,0.764,39.31,0,51.54,4.98,80.26,6613,42.7,Médio Risco,72
BR-00018,Vila Feliz,AL,Nordeste,-9.4734,-36.4916,1,4.91,35138.31,188.6,38.19,0.711,47.92,0,60.11,1.8,68.25,5877,44.0,Médio Risco,77
BR-00019,Bela Grande,RO,Norte,-8.4548,-60.9589,2,21.88,36894.16,210.0,28.37,0.727,46.1,0,49.59,1.78,61.1,20419,47.4,Médio Risco,292
BR-00020,Lago do Sertão,PE,Nordeste,-10.2565,-38.7957,1,30.51,42919.87,90.8,26.18,0.872,36.32,0,,2.66,80.17,56293,23.2,Baixo Risco,220
BR-00021,Cruz Esperança,RN,Nordeste,-4.7322,-36.1755,1,43.08,31463.26,131.6,31.46,0.741,45.78,0,54.18,4.34,55.08,394234,39.5,Baixo Risco,4196
BR-00022,Cruz do Sertão,MA,Nordeste,-8.0704,-45.0022,4,7.34,24025.36,143.2,48.85,0.698,50.8,1,27.98,1.96,57.58,111756,75.6,Alto Risco,3612
BR-00023,Bela das Flores,TO,Norte,-9.8658,-48.6554,1,2.98,29959.13,307.1,43.78,0.63,59.0,1,44.4,3.59,,197111,72.3,Alto Risco,6604
BR-00024,Monte do Carvão,SP,Sudeste,-19.9849,-47.7479,1,30.88,25616.65,91.4,37.14,0.762,42.31,1,,8.42,66.69,74390,49.0,Médio Risco,1060
BR-00025,Santo da Mata,RS,Sul,-29.0159,-52.1147,2,39.86,,206.6,36.29,0.711,47.94,0,55.37,1.36,50.05,51978,54.7,Médio Risco,961
BR-00026,Santo da Serra,CE,Nordeste,-4.9611,-39.0716,1,59.33,,199.7,39.23,0.622,54.64,0,30.05,6.29,55.32,753314,64.0,Médio Risco,19640
BR-00027,Vale do Sertão,MG,Sudeste,-18.8846,-44.7379,0,21.09,48352.99,111.6,36.78,0.805,39.84,0,45.42,0.57,84.04,6288,26.8,Baixo Risco,33
BR-00028,Lago das Flores,AL,Nordeste,-9.5765,-37.3205,1,54.41,26638.43,167.9,33.44,0.72,50.55,1,44.78,3.08,67.42,19603,52.4,Médio Risco,351
BR-00029,Cruz do Norte,BA,Nordeste,-13.3129,-43.6149,2,42.24,34996.77,159.6,37.34,0.705,46.72,0,63.93,2.92,57.54,21612,48.7,Médio Risco,326
BR-00030,Rio Dourado,PI,Nordeste,-8.8204,-43.8583,0,57.93,10724.63,238.6,70.51,0.53,69.56,0,26.96,6.6,57.54,100403,84.5,Alto Risco,4884
BR-00031,Lago do Amparo,RN,Nordeste,-6.2158,-37.4608,1,27.84,38398.62,134.0,36.25,0.792,37.02,0,50.84,6.39,65.04,9668,36.8,Baixo Risco,80
BR-00032,Vale Limpo,TO,Norte,-9.8923,-49.8736,7,4.06,30685.1,279.6,48.83,0.679,42.36,2,31.9,4.12,59.27,85330,80.0,Alto Risco,2666
BR-00033,Lago Limpo,GO,Centro-Oeste,-17.0541,-49.2441,4,20.71,21372.25,227.3,47.54,0.666,41.17,0,,12.29,52.1,67817,74.9,Alto Risco,1871
BR-00034,Vale da Serra,MA,Nordeste,-6.5488,-43.7647,1,24.88,23449.78,187.0,48.62,0.677,38.32,1,,0.8,53.51,90824,65.6,Médio Risco,1935
BR-00035,Santa Dourado,MG,Sudeste,-20.0043,-45.6513,0,35.67,24568.47,96.9,56.19,0.638,65.26,0,49.64,0.84,54.06,88790,57.9,Médio Risco,2248
BR-00036,Bela Azul,CE,Nordeste,-4.653,-39.1332,2,3.67,16056.4,165.7,62.21,0.563,46.73,0,39.02,1.91,50.36,224785,73.3,Alto Risco,6524
BR-00037,Lago das Flores,AM,Norte,-2.7065,-66.5478,2,22.37,35642.97,215.8,17.76,0.78,46.08,0,50.27,8.64,84.76,30899,41.0,Médio Risco,351
BR-00038,Boa das Flores,MG,Sudeste,-17.7757,-44.8069,2,57.64,35460.85,148.1,37.92,,41.74,0,54.62,8.69,61.14,63748,44.5,Médio Risco,772
BR-00039,Vila do Sertão,CE,Nordeste,-3.8488,-40.4965,1,21.08,28016.58,139.6,47.05,0.642,57.2,0,51.98,10.33,55.06,13086,61.9,Médio Risco,334
BR-00040,Serra do Amparo,PI,Nordeste,-7.597,-41.8873,0,14.84,21745.79,197.5,46.99,0.608,39.73,0,27.9,1.99,57.87,9838,55.8,Médio Risco,166
BR-00041,Monte da Serra,MS,Centro-Oeste,-19.9612,-55.4903,1,134.95,25080.14,266.4,60.71,0.609,53.69,0,37.54,11.23,57.85,298354,72.6,Alto Risco,9399
BR-00042,Boa Grande,RR,Norte,2.4754,-59.9837,2,9.5,36523.31,181.1,33.58,0.833,52.01,0,57.79,14.36,72.41,11907,43.3,Médio Risco,160
BR-00043,Campo da Mata,RJ,Sudeste,-22.3782,-43.004,0,134.04,55722.31,9.6,16.36,0.859,32.46,1,73.69,2.83,90.15,73250,12.5,Baixo Risco,99
BR-00044,Serra da Serra,GO,Centro-Oeste,-16.7232,-50.7694,1,69.41,,167.4,46.12,0.734,43.76,0,34.11,6.41,64.71,63819,56.2,Médio Risco,1158
BR-00045,Campo do Forno,RR,Norte,4.5,-63.1546,1,16.67,18355.94,298.1,47.77,0.652,40.06,0,41.51,9.04,57.02,142732,70.5,Alto Risco,3511
BR-00046,Lago do Amparo,RO,Norte,-11.4627,-62.9855,4,24.52,31901.92,218.7,39.71,,36.29,0,55.93,6.65,64.93,4135,54.8,Médio Risco,64
BR-00047,Cruz da Mata,MT,Centro-Oeste,-13.5722,-54.1667,1,21.39,28183.58,294.1,51.06,0.712,60.84,0,57.64,6.85,66.91,100108,64.7,Médio Risco,2872
BR-00048,Santo do Sertão,GO,Centro-Oeste,-15.3724,-49.4774,2,33.68,31535.58,197.8,24.41,0.81,38.82,0,49.4,5.08,87.02,30560,34.8,Baixo Risco,238
BR-00049,Rio Feliz,PI,Nordeste,-7.3674,-39.5956,0,14.66,28492.79,156.4,34.44,0.729,43.07,0,47.7,1.91,69.87,15524,37.4,Baixo Risco,145
BR-00050,Porto do Norte,AM,Norte,-5.4367,-63.0983,5,10.01,13420.84,329.3,70.03,0.522,68.48,0,22.83,7.91,40.66,24016,93.2,Alto Risco,1350
BR-00051,Alto do Carvão,CE,Nordeste,-3.6283,-39.9605,0,19.08,32639.08,140.8,35.29,0.689,33.45,0,56.45,0.83,71.62,120086,31.7,Baixo Risco,734
BR-00052,Boa do Norte,AC,Norte,-8.9019,-70.9952,4,16.15,20871.83,262.2,54.16,0.675,53.72,1,44.6,16.06,55.12,81965,79.5,Alto Risco,2987
BR-00053,São Limpo,RS,Sul,-31.2553,-52.5424,1,17.2,35057.78,153.3,33.25,0.665,45.83,0,,3.52,67.64,28004,47.6,Médio Risco,402
BR-00054,Rio do Cedro,PI,Nordeste,-6.0557,-43.9032,2,2.46,26419.86,129.0,33.39,0.679,51.48,0,35.36,10.59,64.58,7912,56.1,Médio Risco,160
BR-00055,Alto do Norte,RJ,Sudeste,-21.3741,-41.0272,0,34.85,48433.81,136.1,31.62,0.758,32.27,0,65.01,2.45,74.5,8641,26.2,Baixo Risco,38
BR-00056,Vila da Mata,RS,Sul,-31.4704,-52.6938,1,13.32,28761.55,232.4,49.94,0.69,39.37,0,37.64,1.72,66.63,84228,61.0,Médio Risco,1625
BR-00057,Santo das Flores,MG,Sudeste,-15.6119,-44.021,1,4.06,36383.48,204.6,35.65,0.68,41.1,0,50.69,1.29,68.11,6653,46.3,Médio Risco,85
BR-00058,Vale do Forno,PB,Nordeste,-6.3577,-35.7583,0,20.94,39045.68,102.3,32.66,0.796,43.38,0,73.67,1.99,67.51,28348,26.7,Baixo Risco,155
BR-00059,Monte Vermelho,AM,Norte,-3.4843,-62.688,2,17.9,21554.93,201.2,41.38,0.695,46.93,0,39.3,11.0,70.34,937845,59.3,Médio Risco,19449
BR-00060,Santo Grande,AM,Norte,-1.2437,-64.8607,1,79.82,22415.36,239.7,40.51,0.641,51.12,0,41.17,6.63,61.35,58364,61.1,Médio Risco,1347
BR-00061,Nova Verde,PI,Nordeste,-7.497,-42.8883,1,11.72,23129.23,193.7,46.63,0.668,61.53,0,26.93,0.82,61.12,83101,63.0,Médio Risco,2304
BR-00062,Lago Vermelho,MG,Sudeste,-18.1393,-42.2678,0,54.15,39098.51,133.4,34.97,0.783,40.3,0,56.23,1.12,76.68,8723,29.7,Baixo Risco,54
BR-00063,Nova da Serra,PB,Nordeste,-8.2044,-35.3654,1,79.37,14414.03,166.8,56.79,0.664,56.03,0,47.35,2.7,53.15,7086,67.2,Médio Risco,203
BR-00064,Santo do Forno,RS,Sul,-28.8854,-53.6494,1,19.4,48261.49,29.6,12.64,0.93,27.11,1,70.08,2.94,81.25,88856,15.3,Baixo Risco,150
BR-00065,Nova do Sertão,PE,Nordeste,-7.7128,-37.8527,1,23.24,26208.81,163.0,39.52,0.681,53.88,0,47.17,0.69,64.23,23088,48.9,Médio Risco,387
BR-00066,São do Norte,PB,Nordeste,-7.2594,-36.4465,0,143.89,34952.76,28.4,36.77,0.78,47.26,0,62.56,2.69,69.14,142490,26.2,Baixo Risco,804
BR-00067,Santa do Vale,PB,Nordeste,-8.386,-36.2135,0,24.18,21816.47,205.2,55.7,0.558,53.19,0,39.13,3.27,55.54,39298,64.6,Médio Risco,1020
BR-00068,Porto Azul,GO,Centro-Oeste,-15.7981,-51.7592,1,34.16,34017.67,215.5,42.57,0.719,38.28,0,53.74,5.38,64.48,2800906,47.4,Médio Risco,35453
BR-00069,Cruz do Sertão,AC,Norte,-8.8677,-72.7095,2,19.74,45370.1,229.3,27.07,0.773,46.7,0,64.66,3.99,73.58,18208,38.9,Baixo Risco,192
BR-00070,Santa Feliz,MS,Centro-Oeste,-22.3769,-55.7823,1,40.82,26943.97,312.3,57.24,0.604,49.14,0,13.6,4.79,62.46,53445,76.4,Alto Risco,1716
BR-00071,Bela do Amparo,CE,Nordeste,-7.2605,-40.8806,1,25.94,40386.93,178.4,32.09,0.772,43.42,0,52.72,2.32,64.69,12177,37.8,Baixo Risco,117
BR-00072,Serra Verde,MT,Centro-Oeste,-11.8488,-56.3214,5,3.64,27178.42,243.0,42.6,0.712,66.54,0,34.99,19.54,78.05,135280,74.6,Alto Risco,5212
BR-00073,Bela do Vale,RR,Norte,-1.5926,-60.5114,5,16.67,44897.55,206.5,32.47,0.73,53.83,0,39.49,19.94,68.29,64579,57.5,Médio Risco,1403
BR-00074,Rio do Cedro,DF,Centro-Oeste,-15.5424,-48.0965,0,11.27,42961.3,130.4,14.69,0.888,41.22,0,82.47,2.18,77.31,11198,15.8,Baixo Risco,26
BR-00075,Serra das Flores,AL,Nordeste,-10.2893,-36.545,0,19.73,15637.61,236.1,60.88,0.577,56.96,0,28.35,2.53,49.02,25044,74.1,Alto Risco,851
BR-00076,Boa Verde,ES,Sudeste,-17.3585,-42.054,0,11.89,44648.36,63.9,32.14,0.81,46.36,0,75.38,0.33,79.76,206859,18.5,Baixo Risco,660
BR-00077,Santa do Carvão,GO,Centro-Oeste,-16.6709,-50.5063,2,51.74,47062.65,235.2,29.83,0.834,35.89,0,49.52,6.53,75.74,178017,40.4,Médio Risco,1675
BR-00078,Serra do Cedro,PI,Nordeste,-6.7967,-41.9078,2,32.18,44000.93,103.1,31.73,0.825,40.0,0,50.32,3.01,65.61,6355,36.7,Baixo Risco,55
BR-00079,Boa do Norte,PB,Nordeste,-7.8357,-35.8871,1,7.99,40730.57,152.3,46.25,0.771,55.79,0,61.81,7.12,63.68,20796,42.6,Médio Risco,287
BR-00080,Campo do Carvão,RS,Sul,-29.5408,-54.2144,0,17.46,28056.84,67.1,27.83,0.804,38.57,0,53.24,0.47,76.11,362850,22.9,Baixo Risco,1441
BR-00081,Bela da Mata,PI,Nordeste,-6.6884,-42.5037,1,39.72,34232.99,155.4,37.97,0.596,52.85,0,44.25,1.05,45.2,30213,54.0,Médio Risco,586
BR-00082,Nova da Mata,MT,Centro-Oeste,-13.2876,-52.3416,3,66.92,25026.01,202.2,41.68,0.646,46.63,0,40.18,9.42,47.04,46830,69.9,Médio Risco,1258
BR-00083,Monte do Vale,RO,Norte,-9.4348,-63.3646,1,10.87,42025.89,258.0,31.47,0.7,49.42,0,51.77,1.9,72.81,134412,47.3,Médio Risco,2012
BR-00084,Lago Grande,BA,Nordeste,-14.3512,-42.6705,1,6.65,13201.05,196.1,45.52,0.633,51.71,0,35.19,3.06,52.37,7043,70.0,Alto Risco,204
BR-00085,Santa da Serra,AC,Norte,-8.3576,-70.7933,1,214.07,42377.48,216.9,29.57,0.858,45.06,1,61.12,10.29,70.64,11503,43.7,Médio Risco,142
BR-00086,Santa do Sertão,AP,Norte,2.7017,-51.641,0,39.18,49262.49,146.6,22.68,0.894,15.37,0,78.65,1.81,85.42,24844,13.6,Baixo Risco,26
BR-00087,Bela das Flores,RJ,Sudeste,-21.3259,-42.8716,2,31.87,42065.14,142.4,40.63,0.786,43.64,0,71.74,2.17,,167842,39.3,Baixo Risco,1715
BR-00088,Rio Esperança,MG,Sudeste,-15.417,-44.4239,2,8.74,21414.61,206.8,58.85,0.615,54.66,0,,1.08,53.01,133213,72.9,Alto Risco,4279
BR-00089,Cruz Vermelho,BA,Nordeste,-14.0288,-43.7208,4,22.47,21242.92,213.5,69.2,0.512,64.7,0,29.57,8.65,43.47,91556,88.0,Alto Risco,4499
BR-00090,Santo Verde,PA,Norte,-5.7208,-53.8277,1,139.18,27660.81,232.7,37.14,0.701,45.95,0,44.9,8.65,61.85,31290,59.0,Médio Risco,634
BR-00091,Cruz das Flores,BA,Nordeste,-14.3521,-41.9091,1,29.29,28585.42,189.6,34.63,0.691,46.38,0,57.85,1.43,63.05,152812,47.2,Médio Risco,2182
BR-00092,Santo do Sertão,RJ,Sudeste,-21.3254,-42.8914,1,99.51,45212.64,108.1,29.0,0.75,30.18,1,71.83,0.63,79.82,30767,28.2,Baixo Risco,147
BR-00093,Rio Limpo,MS,Centro-Oeste,-19.8129,-55.3327,3,24.34,33034.0,345.7,31.27,0.661,42.49,1,29.59,10.49,57.75,76685,74.6,Alto Risco,2147
BR-00094,Bela do Sertão,MT,Centro-Oeste,-12.4968,-55.6678,1,9.29,39334.87,287.9,32.94,0.772,50.48,1,33.85,21.13,53.42,116430,67.6,Médio Risco,3132
BR-00095,Monte Verde,GO,Centro-Oeste,-17.5521,-49.7746,0,11.84,30967.3,186.7,45.85,0.727,41.44,1,38.79,4.17,64.83,310527,53.6,Médio Risco,5039
BR-00096,Cruz do Carvão,PE,Nordeste,-7.3064,-36.6148,1,7.21,21263.91,176.3,45.36,0.68,49.49,0,45.2,1.72,59.69,34703,56.7,Médio Risco,695
BR-00097,São da Serra,MA,Nordeste,-7.1346,-45.5789,1,25.56,25240.55,181.1,48.53,0.668,56.71,0,39.25,1.42,51.93,23665,61.8,Médio Risco,599
BR-00098,Vale da Serra,AP,Norte,3.0325,-51.2113,10,75.19,40800.06,305.6,38.76,0.675,62.55,0,47.89,28.18,51.99,187934,80.0,Alto Risco,7731
BR-00099,Campo do Vale,AM,Norte,0.5304,-65.8582,0,43.31,57356.71,147.5,18.82,0.901,29.81,0,67.71,1.16,85.37,206864,15.7,Baixo Risco,384
BR-00100,Vila do Sertão,TO,Norte,-9.657,-47.4991,3,17.0,14763.63,268.0,49.48,0.675,47.67,1,58.13,21.88,64.92,18879,78.9,Alto Risco,625
BR-00101,Serra Esperança,SP,Sudeste,-21.3736,-48.264,1,14.59,43685.34,24.3,26.26,0.828,37.55,0,69.22,1.33,78.96,9355,20.5,Baixo Risco,31
BR-00102,Serra do Norte,RJ,Sudeste,-22.94,-41.4479,1,38.17,40369.24,89.7,30.82,0.725,28.78,0,53.65,1.98,80.42,170893,31.1,Baixo Risco,927
BR-00103,Santa da Serra,ES,Sudeste,-21.7243,-39.3412,0,6.74,28936.18,244.0,35.71,0.733,40.76,0,,1.79,66.75,4783,40.0,Médio Risco,48
BR-00104,Bela Feliz,TO,Norte,-11.0138,-47.4758,3,7.26,26323.18,258.3,39.88,0.729,47.75,0,29.48,9.67,59.57,4487,68.4,Médio Risco,118
BR-00105,Santo Limpo,RS,Sul,-31.2301,-53.3378,0,89.99,47464.96,45.1,21.65,0.926,25.21,0,68.12,0.9,90.05,26626,10.9,Baixo Risco,25
BR-00106,Serra Azul,RJ,Sudeste,-24.2758,-42.3171,0,20.32,38588.36,150.6,37.71,0.734,31.97,0,54.33,4.87,69.43,37349,31.2,Baixo Risco,217
BR-00107,Bela Azul,MS,Centro-Oeste,-18.0987,-53.0511,5,16.55,22335.53,222.3,40.62,0.637,56.93,1,49.08,19.43,,8735,80.9,Alto Risco,341
BR-00108,Rio Azul,ES,Sudeste,-18.808,-41.2529,1,24.28,44677.66,118.3,18.72,,42.08,0,41.2,0.9,81.71,43362,25.8,Baixo Risco,221
BR-00109,Bela do Sertão,AP,Norte,1.9416,-52.6498,2,61.59,39947.84,150.2,32.62,0.811,39.75,0,56.11,10.85,68.16,45848,39.7,Baixo Risco,448
BR-00110,Alto Azul,SP,Sudeste,-22.6226,-48.536,0,45.19,46041.24,43.3,11.49,0.909,23.43,0,74.82,1.17,87.38,18025,11.0,Baixo Risco,17
BR-00111,Lago das Flores,MS,Centro-Oeste,-20.752,-53.9586,1,13.15,42710.35,201.5,38.2,0.739,42.47,0,58.92,7.05,78.96,417413,38.3,Baixo Risco,4020
BR-00112,Rio Esperança,CE,Nordeste,-3.8496,-40.6837,1,13.65,29429.13,175.0,29.44,0.776,45.45,0,65.39,6.89,72.87,56230,40.6,Médio Risco,622
BR-00113,Bela das Flores,GO,Centro-Oeste,-16.0253,-49.9647,1,22.52,33897.82,234.3,28.66,0.719,40.47,0,60.98,3.98,67.54,134674,43.0,Médio Risco,1512
BR-00114,Santo do Vale,PB,Nordeste,-6.537,-36.8516,4,28.69,23140.43,211.5,48.96,0.672,56.11,1,40.58,5.31,45.19,5323,77.6,Alto Risco,193
BR-00115,Nova do Vale,BA,Nordeste,-13.2344,-44.8014,0,18.7,32939.59,206.3,66.96,0.66,51.21,0,42.6,3.93,36.64,5266,60.6,Médio Risco,120
BR-00116,Monte Feliz,RR,Norte,1.571,-61.7074,0,19.43,24117.42,290.6,50.59,0.723,52.14,0,41.2,6.98,73.54,58400,57.6,Médio Risco,1244
BR-00117,Alto da Serra,RN,Nordeste,-7.7797,-36.8102,1,22.06,,159.9,49.22,0.672,61.28,0,42.1,3.41,58.94,333892,65.8,Médio Risco,9895
BR-00118,Alto do Norte,RJ,Sudeste,-25.0188,-42.8844,1,32.62,42605.51,70.2,25.59,0.797,42.11,0,72.04,2.11,76.8,9298,24.2,Baixo Risco,43
BR-00119,Santa Esperança,MS,Centro-Oeste,-20.8762,-52.5577,0,12.53,38897.52,232.6,24.15,0.763,51.67,0,53.65,2.7,72.51,39309,37.8,Baixo Risco,424
BR-00120,Serra do Norte,PE,Nordeste,-8.3009,-39.5621,1,76.99,37541.51,142.9,31.7,0.801,47.38,0,53.67,1.34,59.77,7017,32.3,Baixo Risco,55
BR-00121,Cruz do Norte,PB,Nordeste,-9.0806,-37.8745,3,10.16,26785.3,239.3,46.34,0.514,63.82,0,36.88,1.35,41.91,13383,78.2,Alto Risco,539
BR-00122,Lago Feliz,PE,Nordeste,-8.4283,-41.5171,1,41.0,55198.8,77.4,30.48,0.87,27.69,0,74.52,1.31,77.53,41831,17.8,Baixo Risco,91
BR-00123,Bela do Norte,AP,Norte,1.4853,-52.4433,4,2.97,30912.77,294.0,52.2,0.739,36.37,0,,22.8,52.07,17752,67.3,Médio Risco,381
BR-00124,Cruz do Vale,MT,Centro-Oeste,-15.6584,-55.9739,3,25.91,38919.26,231.7,28.49,0.845,26.21,1,83.24,9.52,63.55,6426,42.6,Médio Risco,55
BR-00125,Santo Limpo,AL,Nordeste,-10.9012,-37.534,0,6.7,31938.72,177.6,51.6,0.715,54.01,0,44.8,0.84,43.29,6249,48.2,Médio Risco,103
BR-00126,São das Flores,MG,Sudeste,-17.5298,-42.8293,0,7.55,21901.91,138.3,41.58,0.602,54.5,0,34.23,2.12,61.53,3110,52.8,Médio Risco,59
BR-00127,Serra do Forno,MA,Nordeste,-4.8781,-44.2351,3,168.74,8150.24,233.9,65.08,0.47,77.44,1,28.01,4.06,32.5,59619,93.8,Alto Risco,3725
BR-00128,Monte do Forno,BA,Nordeste,-14.5751,-41.591,1,31.4,29889.87,129.2,51.26,0.753,56.23,0,52.62,4.08,68.15,69354,48.7,Médio Risco,1192
BR-00129,Santa do Cedro,AP,Norte,1.6318,-52.2889,3,76.63,22188.31,286.5,45.74,0.633,45.74,1,49.63,4.76,66.81,68919,75.1,Alto Risco,2050
BR-00130,Campo do Norte,PR,Sul,-23.4586,-50.1133,1,57.25,29437.62,193.8,37.39,0.701,52.97,0,61.6,0.84,64.26,10546,44.6,Médio Risco,151
BR-00131,Campo da Mata,BA,Nordeste,-11.8721,-41.7277,2,48.19,18042.75,185.5,46.06,0.58,56.45,1,17.71,2.76,46.77,115548,81.4,Alto Risco,4532
BR-00132,Rio do Carvão,SE,Nordeste,-10.7034,-38.5956,0,25.27,45308.62,87.8,36.59,0.843,42.12,0,73.81,2.94,77.12,79497,21.1,Baixo Risco,293
BR-00133,Bela Feliz,PB,Nordeste,-7.9352,-39.1227,0,146.77,37780.93,71.7,30.32,0.809,44.92,1,74.49,2.33,70.92,33161,26.8,Baixo Risco,187
BR-00134,Monte Grande,MA,Nordeste,-6.3011,-46.0578,0,70.77,34653.27,122.1,18.6,0.816,46.7,0,64.49,0.93,83.81,27010,22.6,Baixo Risco,119
BR-00135,Cruz da Serra,PR,Sul,-24.2351,-50.4935,0,27.16,26594.34,146.4,31.64,0.722,40.94,0,56.95,8.7,80.75,14598,34.7,Baixo Risco,117
BR-00136,Alto Dourado,AC,Norte,-8.4969,-67.3628,0,36.01,38178.36,243.5,26.34,0.804,48.97,0,52.51,6.24,,41781,34.8,Baixo Risco,380
BR-00137,Cruz do Vale,TO,Norte,-9.2888,-48.2137,2,16.36,21218.62,311.1,53.74,0.739,45.03,0,34.92,10.85,35.81,248093,76.8,Alto Risco,7566
BR-00138,Boa Esperança,MG,Sudeste,-17.9154,-45.4515,2,23.03,24486.55,204.5,47.7,0.687,60.82,0,48.94,1.45,55.6,136260,61.8,Médio Risco,3632
BR-00139,Santa do Forno,RS,Sul,-28.5537,-54.859,0,26.33,34539.02,83.1,31.31,0.762,41.95,0,60.07,4.96,70.4,23855,26.6,Baixo Risco,127
BR-00140,Boa Esperança,AP,Norte,1.5424,-50.9973,1,43.38,41915.79,180.4,35.09,0.744,39.0,0,64.63,10.1,77.38,64426,40.5,Médio Risco,642
BR-00141,Vila Feliz,MG,Sudeste,-17.0014,-46.8505,0,157.96,44162.01,168.7,34.38,0.74,27.53,0,60.42,2.61,58.69,8293,32.0,Baixo Risco,46
BR-00142,Monte da Serra,MG,Sudeste,-16.8808,-43.6095,0,8.27,33117.53,117.6,40.52,0.753,39.26,0,62.63,0.81,58.34,81845,34.7,Baixo Risco,639
BR-00143,Boa Grande,SE,Nordeste,-11.6963,-36.3052,0,72.67,,114.3,41.2,0.669,58.76,0,52.75,5.64,70.82,11631,44.7,Médio Risco,180
BR-00144,Porto do Norte,PB,Nordeste,-9.8114,-36.1092,1,21.43,46625.08,141.7,46.35,0.808,34.18,1,51.19,3.4,72.49,77872,37.8,Baixo Risco,639
BR-00145,Monte do Vale,MG,Sudeste,-15.9391,-44.6875,1,81.88,25518.96,152.7,40.37,0.746,54.59,0,52.76,5.33,50.86,1344241,50.9,Médio Risco,24281
BR-00146,Nova do Vale,ES,Sudeste,-18.8307,-39.5491,0,18.93,35122.81,182.3,31.02,0.786,44.04,0,69.06,2.18,60.61,16115,30.3,Baixo Risco,109
BR-00147,Rio Feliz,MA,Nordeste,-7.8203,-45.2007,5,29.43,22249.38,205.5,46.38,0.609,64.0,0,36.56,2.55,55.53,1268701,78.7,Alto Risco,51715
BR-00148,Lago do Sertão,PA,Norte,-4.7893,-53.5694,4,16.89,16562.4,273.2,50.41,0.579,57.22,0,51.12,7.68,47.87,60675,81.7,Alto Risco,2417
